Name,Code for scientific name and authority in lookup table,Plot number,National Forest or other area,Latitude (decimal degrees),Longitude (decimal degrees),Wilderness Area,Region,Year of tissue collection,Chromium (ppm dw),Copper (ppm dw),Managanese (ppm dw),Nitrogen (% dw),Phosphorous (ppm dw),Potassium (ppm dw),Sulfur (% dw),Elevation (ft),Air pollution score,Taxonomic authority,Common name,AQ Rating,codename,sci_name
Platismatia glauca,plagla,7MHPsmeC,Columbia River Gorge National Scenic Area,45.661,-121.267,,6.0,2006.0,1.85,8.223,70.984,1.287,783.2,3229.6,0.192,2000.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,xancum,Klop0,Wallowa-Whitman National Forest,45.619,-116.464,,6.0,2000.0,5.5,10.4,60.66,1.54,1647.74,3463.8,0.11,1188.0,2.525,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
Platismatia glauca,plagla,CRG35B,Columbia River Gorge National Scenic Area,45.736,-121.588,,6.0,1998.0,3.56,17.02,104.5,,945.6,2695.0,,1650.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,HRF08,Juneau,58.303,-134.401,,10.0,2009.0,,,,0.546,,,0.046,,-0.973,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,HermanCkB,Columbia River Gorge National Scenic Area,45.692,-121.808,,6.0,2006.0,0.959,9.859,41.611,1.133,1086.8,4086.6,0.196,720.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,rlv,,,,,,6.0,2012.0,,,,2.15,,,0.162,,,,,,,
Lobaria oregana,lobore,1094136,Willamette National Forest,44.17,-122.34,,6.0,1996.0,,,,,,,0.103,1600.0,-0.244,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Alectoria sarmentosa,alesar,1142180,Mt. Hood National Forest,45.35,-121.56,,6.0,2004.0,0.552,1.592,264.82,0.388,505.65,1742.7,0.028,3500.0,-0.382,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,xancum,Kirk0,Wallowa-Whitman National Forest,45.569,-116.498,,6.0,2000.0,5.5,8.08,102.96,1.6,1776.12,3793.0,0.11,1210.0,2.616,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
,citrus1572,,,,,,6.0,1999.0,1.38,16.84,21.56,2.64,1310.7,17722.4,,,,,,,,
,letcol,1082188,Deschutes National Forest,43.87,-121.46,,6.0,2004.0,1.068,2.985,74.207,1.04,714.45,2550.4,0.061,4200.0,-0.506,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Bryoria fremontii,bryfre,1026176,Fremont-Winema National Forests,42.49,-121.69,,6.0,2010.0,2.076,1.89,151.25,1.21,1122.9,3414.2,0.089,5800.0,0.231,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Letharia vulpina,letvul,AnaPin05,Beaverhead-Deerlodge National Forest,46.001,-113.066,Anaconda Pintler Wilderness,14.0,2000.0,2,4.0,434.0,,1042.0,3424.0,0.058,6600.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,xanthoparmelia,SanRio30,Rio Grande National Forest,37.212,-106.452,,14.0,1997.0,,10.7,330.0,,1020.0,4100.0,0.067,9300.0,,(Vainio)Hale,,,,
Letharia vulpina,letvul,1024168YW,Fremont-Winema National Forests,42.44,-121.83,,6.0,1999.0,4.44,5.54,196.92,0.65,1133.34,2832.2,0.043,5900.0,0.577,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,WindRB,Gifford Pinchot National Forest,45.816,-121.946,,6.0,2006.0,0.925,5.774,265.06,0.582,776.11,2531.1,0.11,1172.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1128164,Mt. Hood National Forest,45.01,-121.85,,6.0,1995.0,0.5,1.5,144.8,0.48,365.0,1637.0,0.044,3600.0,-0.558,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,edta,,,,,,6.0,2009.0,,,,9.6,,,,,,,,,,
Platismatia glauca,plagla,1066124,Umpqua National Forest,43.48,-122.55,,6.0,2010.0,0.744,1.948,383.22,,847.49,1782.9,0.064,3400.0,-1.121,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,HermanCkG,Columbia River Gorge National Scenic Area,45.692,-121.808,,6.0,2008.0,0.995,4.267,49.743,0.864,1062.2,3274.2,0.072,720.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia inactiva,hypina,1094136,Willamette National Forest,44.17,-122.34,,6.0,2005.0,0.905,8.704,492.48,0.684,1642.2,4926.8,0.102,1600.0,-0.111,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,xancum,Light1,Wallowa-Whitman National Forest,45.741,-116.745,,6.0,2000.0,5.98,30.1,156.7,1.15,1360.88,2962.8,0.08,1384.0,2.503,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
Platismatia glauca,plagla,CRG72,Columbia River Gorge National Scenic Area,45.742,-121.899,,6.0,2009.0,0.683,3.06,108.94,0.676,1234.3,2879.6,0.057,2050.0,0.047,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,hypphy,HR37,Hope,60.896,-149.603,,10.0,2009.0,,,,0.595,,,0.051,,-0.663,(L.) Nyl.,Tube lichen,most tolerant,,
,flacap,StMarys111,George Washington and Jefferson National Forest,37.929,-79.13,Saint Mary's Wilderness,89.0,1995.0,,,,1.4,,,0.14,2614.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,edta,,,,,,6.0,2006.0,,,,9.457,,,,,,,,,,
Alectoria sarmentosa,alesar,1116164,Willamette National Forest,44.71,-121.85,Mount Jefferson Wilderness,6.0,2004.0,0.338,0.901,170.95,0.297,481.82,1569.9,0.025,4900.0,-0.373,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1108180,Deschutes National Forest,44.51,-121.58,,6.0,1995.0,0.9,2.4,136.7,,1317.0,3402.0,,4400.0,-0.22,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,1070204,Deschutes National Forest,43.57,-121.2,,6.0,2004.0,1.102,2.145,88.04,1.12,432.78,1825.0,0.07,5400.0,-0.701,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia inactiva,hypina,1132148,Mt. Hood National Forest,45.11,-122.12,,6.0,1995.0,2.3,3.7,,0.62,584.0,2412.0,0.086,4100.0,0.032,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,1246196,Mt Baker-Snoqualmie National Forest,47.9,-121.2,Henry M. Jackson Wilderness,6.0,2012.0,0.67,2.23,182.04,0.496,795.7,2239.3,0.042,3700.0,-0.268,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1136164,Mt. Hood National Forest,45.2,-121.84,,6.0,1994.0,0.5,1.2,297.7,0.38,489.0,1693.0,0.033,3200.0,-0.206,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,1080124,Willamette National Forest,43.83,-122.55,,6.0,2005.0,0.291,1.729,118.62,0.476,570.83,2486.8,0.065,3300.0,-0.292,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Lobaria oregana,lobore,TNF030C,Tongass N.F.,56.733,-132.129,Stikine-LeConte Wilderness,10.0,2012.0,0.525,4.659,117.79,2.02,1703.9,7451.0,0.094,29.0,,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Hypogymnia imshaugii,hypims,1136188,Mt. Hood National Forest,45.2,-121.42,,6.0,2004.0,1.134,3.283,240.85,1.1,1026.2,3023.8,0.078,2600.0,0.111,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
,tobacco1011,,,,,,6.0,2008.0,,,,,,,0.6,,,,,,,
,alaska,,,,,,10.0,2011.0,,,,0.329,,,0.02,,,,,,,
,rlv,,,,,,6.0,2010.0,,,,,,,0.211,,,,,,,
Platismatia glauca,plagla,1126156,Mt. Hood National Forest,44.96,-121.99,,6.0,1994.0,1.3,2.0,329.6,0.35,530.0,1404.0,0.034,3500.0,-0.53,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Bryoria fremontii,bryfre,NCL-1C,Deschutes National Forest,43.712,-121.275,,6.0,1996.0,1.22,2.38,89.68,0.86,735.0,2851.0,0.062,6350.0,,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Hypogymnia inactiva,hypina,Pack503,Pack Experimental Forest,46.865,-122.291,,6.0,2000.0,2.882,4.628,32.824,0.897,795.83,2776.2,0.134,900.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,alesarmth,,,,,,6.0,2000.0,1.152,0.981,90.695,0.38,418.85,1503.2,0.043,,,,,,,
Alectoria sarmentosa,alesar,TNF139B,Tongass N.F.,57.087,-135.353,,10.0,2008.0,0.28,0.873,62.118,0.404,291.7,1540.5,0.03,,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Sphaerophorus globosus,sphglo,1104048,Siuslaw National Forest,44.42,-123.85,,6.0,2005.0,0.324,3.873,23.859,0.463,698.83,1703.0,0.06,1400.0,-0.306,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Platismatia glauca,plagla,1080148,Willamette National Forest,43.83,-122.14,Waldo Lake Wilderness,6.0,2004.0,0.761,2.368,401.74,0.41,688.8,1611.8,0.046,5000.0,-0.592,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,usnlap,56_BPMG_2011,,42.853,-110.577,,14.0,2011.0,,,,1.42,,,0.106,8588.0,,Vainio,Beard lichen,,usnlap,Usnea lapponica
,apple1515,,,,,,6.0,2008.0,,,,2.24,,,,,,,,,,
Platismatia glauca,plagla,CleElum4,Okanogan-Wenatchee National Forest,47.146,-121.01,,6.0,2008.0,2.172,3.537,74.419,0.665,1051.2,2337.7,0.05,2900.0,0.141,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Lobaria oregana,lobore,TNF079,Tongass N.F.,56.152,-134.207,,10.0,1990.0,0.8,1.98,31.0,,1379.0,5666.0,0.129,6.0,-0.701,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Alectoria sarmentosa,alesar,1194180,Gifford Pinchot National Forest,46.63,-121.53,Goat Rocks Wilderness,6.0,2004.0,0.498,1.129,231.95,0.328,456.74,1648.8,0.033,4600.0,-0.492,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,CRG51B,Columbia River Gorge National Scenic Area,45.748,-121.313,,6.0,1998.0,2.4,3.22,142.9,0.773,924.9,3349.0,0.091,1450.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,Kali3,Flathead National Forest,48.198,-113.979,,6.0,2008.0,0.441,2.012,60.2,1.21,485.7,2058.5,0.068,5669.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1064116,Umpqua National Forest,43.43,-122.69,,6.0,2007.0,1.195,2.485,140.88,0.563,423.57,1895.0,0.068,3900.0,-0.063,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1056108,Umpqua National Forest,43.24,-122.83,,6.0,2007.0,1.446,2.156,303.63,,745.12,2264.7,,3900.0,0.009,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,TNF495B,Tongass N.F.,56.646,-131.903,Stikine-LeConte Wilderness,10.0,2012.0,1.62,3.703,299.34,0.628,1071.9,2459.7,0.049,9.0,-1.092,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,30_BOZLEV_2011,,45.575,-111.038,,14.0,2011.0,,,,1.42,,,0.106,6790.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,cetcuc,,,,,,6.0,2002.0,0.644,1.216,418.65,0.25,956.079,3078.32,0.027,,,(Bellardi) Karnefelt & Thell,Ruffle lichen,,cetcuc,Cetraria cucullata
Platismatia glauca,plagla,TNF1001,Tongass N.F.,58.303,-133.401,,10.0,2005.0,1.716,4.906,162.51,,1427.3,2873.1,,183.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Sphaerophorus globosus,sphglo,1174156,Gifford Pinchot National Forest,46.14,-121.97,,6.0,1997.0,2.42,1.94,103.4,0.291,621.1,1278.0,0.022,1800.0,-0.576,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Letharia vulpina,letvul,56_BLDRUP_2011,,42.85,-109.625,,14.0,2011.0,,,,1.42,,,0.106,7400.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,1194180,Gifford Pinchot National Forest,46.63,-121.53,Goat Rocks Wilderness,6.0,2004.0,0.498,1.129,231.95,0.328,456.74,1648.8,0.033,4600.0,-0.611,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,1100156,Willamette National Forest,44.32,-122.0,,6.0,2004.0,0.438,1.101,155.68,0.344,435.73,1506.7,0.024,2600.0,-0.411,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,rhimel,SanRio14,San Juan National Forest,37.615,-108.636,,14.0,1994.0,4.57,6.83,30.9,,847.0,2870.0,0.077,6800.0,,(DC.) Leuckert & Poelt,Rock brooch,sensitive,rhimel,Rhizoplaca melanophthalma
Hypogymnia inactiva,hypina,1072116,Umpqua National Forest,43.63,-122.69,,6.0,2007.0,,,,,,,,2700.0,-0.392,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Lobaria oregana,lobore,1198136,Gifford Pinchot National Forest,46.73,-122.31,,6.0,1995.0,0.8,3.6,102.0,2.18,1533.0,6128.0,0.159,1600.0,-0.23,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Platismatia glauca,plagla,Stark602,Wallowa-Whitman National Forest,45.257,-118.547,,6.0,2000.0,1.28,3.38,77.78,0.594,1213.62,2139.6,0.059,4210.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,lobpul,1186160,Gifford Pinchot National Forest,46.43,-121.89,,6.0,2004.0,0.669,1.938,13.609,2.25,1239.4,5231.1,0.058,1400.0,-0.082,(L.) Hoffm.,Lungwort,intermediate,lobpul,Lobaria pulmonaria
Platismatia glauca,plagla,1108160,Willamette National Forest,44.51,-121.93,Mount Jefferson Wilderness,6.0,1995.0,1.1,10.3,324.7,0.37,655.0,1647.0,0.048,5000.0,-0.096,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,BrownsRun3,George Washington and Jefferson National Forest,38.63,-78.607,,89.0,1995.0,,,,1.6,,,0.18,1549.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,1060120,Umpqua National Forest,43.34,-122.62,,6.0,1997.0,,,,0.319,,,,3600.0,-0.511,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1030152,Fremont-Winema National Forests,42.59,-122.09,,6.0,1997.0,1.08,2.76,292.9,0.432,935.8,1947.0,0.036,4500.0,-0.062,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia inactiva,hypina,1160172,Gifford Pinchot National Forest,45.79,-121.69,,6.0,2005.0,0.567,5.361,505.93,0.738,784.76,3126.0,0.108,2000.0,0.094,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,flacap,JRFWA3B,George Washington and Jefferson National Forest,37.596,-79.402,James River Face Wilderness,89.0,1995.0,,,,1.2,,,0.17,1200.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,peach1547,,,,,,6.0,2000.0,1.233,4.18,92.577,,1338.7,22996.0,,,,,,,,
Alectoria sarmentosa,alesar,TNF492A,Tongass N.F.,57.588,-133.412,Chuck River Wilderness,10.0,2004.0,,,,,,,0.038,15.0,-0.716,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,HR17,Ketchikan,55.341,-131.62,,10.0,2009.0,,,,0.572,,,0.058,,-0.549,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1058132,Umpqua National Forest,43.29,-122.42,,6.0,2009.0,0.553,1.829,196.06,0.521,878.73,1914.0,0.033,3500.0,-0.592,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,umbpus,BelfastTrA,George Washington and Jefferson National Forest,37.577,-79.443,James River Face Wilderness,89.0,1987.0,,,,,,,0.17,1402.0,,,,,umbpus,Umbilicaria pustulata
Letharia vulpina,letvul,1144456,Wallowa-Whitman National Forest,45.23,-116.75,Hells Canyon Wilderness,6.0,2012.0,,,,1.06,,,0.067,5200.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,1152460,Wallowa-Whitman National Forest,45.43,-116.66,Hells Canyon Wilderness,6.0,2012.0,0.41,2.01,68.2,1.03,600.76,2457.4,0.07,,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1100164,Willamette National Forest,44.32,-121.86,Mount Washington Wilderness,6.0,2005.0,0.791,6.552,209.0,0.486,724.72,1928.3,,5300.0,-0.382,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1066144,Willamette National Forest,43.48,-122.21,,6.0,2004.0,0.999,2.403,158.28,0.624,890.78,1839.8,0.044,4000.0,-0.101,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1138148,Mt. Hood National Forest,45.25,-122.12,,6.0,2005.0,0.995,4.532,358.91,0.675,758.96,2516.8,0.103,2700.0,-0.149,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,OD-3,Siuslaw National Forest,43.585,-124.185,,6.0,1994.0,0.3,0.7,30.0,0.25,278.0,1171.0,0.031,50.0,-0.754,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1112160,Willamette National Forest,44.61,-121.92,,6.0,1996.0,1.94,5.28,159.6,0.45,716.0,1915.0,0.056,3200.0,-0.525,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,hyphet,OD-5,Siuslaw National Forest,43.441,-124.243,,6.0,2005.0,4.307,10.942,60.242,0.747,899.38,3623.6,0.079,,-0.268,L. Pike,Tube lichen,,hyphet,Hypogymnia heterophylla
,parcap,BalconyFallsA,George Washington and Jefferson National Forest,37.614,-79.448,James River Face Wilderness,89.0,1987.0,,,,,,,0.19,1878.0,,,,,parcap,Parmelia caperata
,lobpul,Cabint11,Kootenai National Forest,48.122,-115.698,Cabinet Mountains Wilderness,14.0,2000.0,3,6.0,62.0,,2742.0,9170.0,0.133,3200.0,,(L.) Hoffm.,Lungwort,intermediate,lobpul,Lobaria pulmonaria
Letharia vulpina,letvul,Starkey5,Wallowa-Whitman National Forest,45.23,-118.508,,6.0,2010.0,,,,,,,0.086,4020.0,-0.062,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia inactiva,hypina,Pack005,Eatonville,46.844,-122.291,,6.0,1998.0,0.5,20.62,146.5,0.485,1722.0,3822.0,0.089,1722.0,0.128,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,MTHW08,Mt. Hood National Forest,45.357,-121.793,Mount Hood Wilderness,6.0,1993.0,0.8,2.4,52.9,0.26,896.0,1752.0,0.031,3280.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,BRun328,Mt. Hood National Forest,45.436,-122.131,,6.0,2000.0,1.7,15.46,68.82,0.593,800.02,2668.4,0.066,1600.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1120148,Mt. Hood National Forest,44.81,-122.13,,6.0,1997.0,1.34,3.72,156.4,0.379,496.9,1838.0,0.037,3800.0,-0.096,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Hypogymnia inactiva,hypina,GameLk,Rogue River-Siskiyou National Forests,42.43,-124.084,Kalmiopsis Wilderness,6.0,2012.0,0.79,4.26,163.59,0.634,1361.5,4183.2,0.048,4400.0,-0.363,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,spec check,,,,,,10.0,2011.0,1.68,2.5,3.22,,5.22,4.03,,,,,,,,
,xanpli,FlaGor04,Ashley National Forest,40.892,-109.56,,14.0,2010.0,5.09,6.62,21.52,1.24,500.0,2100.0,0.07,,,(Gyelnik) Hale,Salted rockfrog,,xanpli,Xanthoparmelia plittii
,flacap,Skidmore66,George Washington and Jefferson National Forest,38.557,-79.148,,89.0,1995.0,,,,1.9,,,0.18,2459.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,CRG515,Columbia River Gorge National Scenic Area,45.613,-121.994,,6.0,2003.0,1.894,6.4,36.188,1.47,1008.1,3160.0,0.16,400.0,0.737,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia imshaugii,hypims,1142412,Wallowa-Whitman National Forest,45.22,-117.52,Eagle Cap Wilderness,6.0,2009.0,1.062,4.052,602.75,0.743,1102.3,2733.7,0.045,4600.0,0.043,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Platismatia glauca,plagla,1150404-N,Wallowa-Whitman National Forest,45.431,-117.645,Eagle Cap Wilderness,6.0,2000.0,1.152,2.422,55.96,,756.51,1773.6,,4400.0,-0.626,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1070148,Willamette National Forest,43.58,-122.15,Diamond Peak Wilderness,6.0,1996.0,0.58,2.3,91.42,0.41,306.0,1302.0,0.048,5000.0,-0.468,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1096148,Willamette National Forest,44.22,-122.13,,6.0,2004.0,0.683,2.703,88.83,0.511,1044.8,2088.5,0.053,3900.0,-0.62,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,Monong104B,Monongahela National Forest,38.995,-79.383,Dolly Sods Wilderness,89.0,1992.0,,7.434,118.662,1.509,488.888,2412.68,0.151,3782.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,KLGO_TL1,Klondike Goldrush National Historic Park,59.451,-135.313,,10.0,2008.0,,,,,,,,110.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,xancum,FlaTop16,White River National Forest,39.856,-107.511,Flat Tops Wilderness,14.0,1982.0,,39.0,78.0,,996.0,3344.0,0.13,7700.0,,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
shrubby Usnea,usnea,FlaTop03,White River National Forest,39.988,-107.246,Flat Tops Wilderness,14.0,1982.0,,8.0,90.0,,1500.0,3702.0,,9800.0,,,Beard lichen,,,shrubby Usnea
,hypdup,TNF509,Tongass N.F.,55.88,-133.876,Warren Island Wilderness,10.0,2005.0,0.503,2.79,188.72,0.544,409.72,2229.7,0.079,15.0,-1.002,(Ach.) Rass.,Tube lichen,,hypdup,Hypogymnia duplicata
Hypogymnia inactiva,hypina,Alsea614,Siuslaw N.F.,44.387,-123.643,,6.0,2000.0,1.379,3.605,184.42,0.551,1409.8,3117.5,0.07,1420.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Alectoria sarmentosa,alesar,TNF128,Tongass N.F.,55.896,-133.14,,10.0,1991.0,0.29,0.76,133.05,0.17,206.35,1095.53,0.024,30.0,-0.644,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,rhimel,FlaGor04,Ashley National Forest,40.892,-109.56,,14.0,2010.0,3.1,4.37,8.69,0.78,300.0,1200.0,0.05,,,(DC.) Leuckert & Poelt,Rock brooch,sensitive,rhimel,Rhizoplaca melanophthalma
shrubby Usnea,usnea,OD-4,Siuslaw National Forest,43.447,-124.257,,6.0,1994.0,0.6,1.6,31.9,0.4,301.0,1834.0,0.064,20.0,1.116,,Beard lichen,,,shrubby Usnea
,blank,,,,,,6.0,2000.0,0.28,0.52,0.1,,0.7,14.14,,,,,,,,
Letharia vulpina,letvul,1066164,Deschutes National Forest,43.48,-121.88,,6.0,1994.0,0.8,10.1,139.0,0.63,651.0,2165.0,0.074,4900.0,-0.611,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,evepru,C2CSewPC,Seattle,47.554,-122.25,,6.0,2008.0,1.558,6.576,61.503,1.17,776.16,2806.1,0.095,82.0,,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
,orchard0.184,,,,,,6.0,1999.0,,,,,,,0.187,,,,,,,
Lobaria oregana,lobore,1116156,Willamette National Forest,44.71,-121.99,,6.0,1996.0,1.5,7.52,262.1,1.9,1853.0,6073.0,0.083,3200.0,-0.573,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Hypogymnia enteromorpha,hypent,1038096,Umpqua National Forest,42.79,-123.03,,6.0,1998.0,2.32,3.62,618.2,0.528,1203.0,2037.0,0.047,2400.0,-0.077,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
Platismatia glauca,plagla,FIA022,Columbia River Gorge National Scenic Area,45.702,-122.216,,6.0,2000.0,2.824,4.22,58.666,,449.64,2086.6,,2376.0,0.36,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1088164,Willamette National Forest,44.02,-121.87,Three Sisters Wilderness,6.0,1995.0,1.4,8.5,385.0,0.34,632.0,1395.0,0.04,5600.0,-0.549,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,KLGO_IJB,Klondike Goldrush National Historic Park,59.455,-135.305,,10.0,2009.0,2.055,7.127,84.557,0.783,1260.9,3015.1,0.118,51.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,clasub,BelfastTrA,George Washington and Jefferson National Forest,37.577,-79.443,James River Face Wilderness,89.0,1987.0,,,,,,,0.12,1402.0,,,,,,
Hypogymnia imshaugii,hypims,1090184,Deschutes National Forest,44.07,-121.52,,6.0,1996.0,1.3,4.68,1147.0,0.55,1189.0,2705.0,0.068,5700.0,-0.37,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
