Name,Code for scientific name and authority in lookup table,Plot number,National Forest or other area,Latitude (decimal degrees),Longitude (decimal degrees),Wilderness Area,Region,Year of tissue collection,Chromium (ppm dw),Copper (ppm dw),Managanese (ppm dw),Nitrogen (% dw),Phosphorous (ppm dw),Potassium (ppm dw),Sulfur (% dw),Elevation (ft),Air pollution score,Taxonomic authority,Common name,AQ Rating,codename,sci_name
Hypogymnia imshaugii,hypims,1110172,Deschutes National Forest,44.56,-121.72,,6.0,2004.0,0.971,4.025,246.02,1.13,1141.8,2284.4,0.026,4200.0,-0.513,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Platismatia glauca,plagla,Stark602,Wallowa-Whitman National Forest,45.216,-118.509,,6.0,2000.0,1.28,3.38,77.78,0.594,1213.62,2139.6,0.059,4120.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1264200,Mt Baker-Snoqualmie National Forest,48.34,-121.11,Glacier Peak Wilderness,6.0,2012.0,0.72,2.64,693.09,0.43,976.71,2242.6,0.044,4300.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,Stark428,Wallowa-Whitman National Forest,45.208,-118.492,,6.0,2000.0,5.4,2.464,92.645,0.466,1064.6,2264.4,0.069,4000.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,MTHW24,Mt. Hood National Forest,45.382,-121.836,Mount Hood Wilderness,6.0,1993.0,16,2.9,260.0,,0.0,0.0,,2360.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,peach1547,,,,,,6.0,2006.0,,,,,,,0.16,,,,,,,
Alectoria sarmentosa,alesar,TNF568,Tongass N.F.,56.058,-132.961,,10.0,2011.0,0.05,0.46,70.85,0.31,159.15,765.31,0.027,15.0,-1.149,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1022144,Fremont-Winema National Forests,42.4,-122.23,,6.0,2009.0,,,,,,,0.033,5200.0,-0.235,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,flacap,Monong132B,Monongahela National Forest,39.012,-79.326,Dolly Sods Wilderness,89.0,1992.0,,9.431,146.637,1.346,1141.83,3451.81,0.145,3862.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Letharia vulpina,letvul,LionRk1,Okanogan-Wenatchee National Forest,47.251,-120.587,,6.0,2008.0,0.461,1.264,46.577,0.955,320.62,1686.9,0.075,6250.0,-0.453,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,flacap,Monong051A,Monongahela National Forest,38.982,-79.626,Otter Creek Wilderness,89.0,1987.0,5.115,11.5,524.7,,1154.0,3019.0,0.187,3299.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,torrur,8-14,Yampa Valley-Sage,40.487,-107.053,,14.0,1994.0,6.6,10.6,216.0,1.14,1500.0,2530.0,0.15,6680.0,,,,,,
,necdou,1096052,Siuslaw National Forest,44.22,-123.78,,6.0,1997.0,1.76,5.74,51.36,0.94,1065.0,3520.0,0.081,500.0,-0.304,,,,necdou,Neckera douglasii
Alectoria sarmentosa,alesar,NCL-4B,Deschutes National Forest,43.69,-121.257,,6.0,1994.0,0.3,8.6,121.1,,533.0,1757.0,0.049,7860.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,letcol,WatermanMt,Angeles National Forest,34.333,-117.933,San Gabriel Wilderness,5.0,1989.0,2.91,16.6,202.0,,6500.0,9320.0,,7900.0,,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
,xanmon,SpringM04,Humboldt-Toiyabe National Forest,36.322,-115.752,,14.0,,5.37,8.52,129.0,,1222.0,7010.0,0.09,1950.0,,,,,,
,letcol,1064204,Deschutes National Forest,43.42,-121.2,,6.0,2005.0,0.706,3.169,51.317,1.173,997.85,2582.5,0.153,4600.0,-0.16,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
,xancum,,,,,,14.0,1994.0,3.5,9.2,54.5,1.36,1400.0,3000.0,0.13,,,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
Platismatia glauca,plagla,1228180,Mt Baker-Snoqualmie National Forest,47.46,-121.43,Alpine Lakes Wilderness,6.0,2005.0,0.621,5.597,210.91,0.597,570.62,2283.2,0.071,3900.0,-0.725,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,LocustSpring154,George Washington and Jefferson National Forest,38.581,-79.636,,89.0,1995.0,,,,1.2,,,0.12,3782.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,usnhir,SanRio06,San Juan National Forest,37.388,-107.092,,14.0,1993.0,,9.41,109.0,,1110.0,3190.0,0.072,8700.0,,(L.) F.H. Wigg.,Beard lichen,,usnhir,Usnea hirta
